,name,company,year,Price,kms_driven,fuel_type
1876,Honda Brio S,Honda,2004,28000,85177,Diesel
1877,Mitsubishi Lancer 1.8,Mitsubishi,2020,147000,52527,Petrol
1878,Fiat Linea Active,Fiat,2019,66000,139305,Diesel
1879,Mahindra Thar CRDe,Mahindra,2013,56000,116974,Petrol
1880,Audi A6 2.0,Audi,2016,1073000,95049,Diesel
1881,Volkswagen Ameo Highline,Volkswagen,2021,167000,6165,Petrol
1882,Datsun redi-GO T,Datsun,2003,25000,138616,Petrol
1883,Maruti Suzuki Ciaz,Maruti,2015,99000,8510,Diesel
1884,Mitsubishi Lancer 1.8,Mitsubishi,2022,215000,17692,Petrol
1885,Ford Endeavour 4x4,Ford,2007,25000,134711,Petrol
1886,Mini Cooper S,Mini,2004,305000,179394,Diesel
1887,Honda Brio S,Honda,2012,77000,19243,Petrol
1888,Jeep Compass Limited,Jeep,2002,25000,105341,Diesel
1889,Maruti Suzuki Alto,Maruti,2009,31000,84611,CNG
1890,Mitsubishi Lancer 1.8,Mitsubishi,2019,100000,120097,Petrol
1891,Nissan Terrano XL,Nissan,2020,123000,40104,Petrol
1892,Toyota Innova 2.5,Toyota,2002,25000,139933,Petrol
1893,Mahindra Thar CRDe,Mahindra,2012,60000,60420,Petrol
1894,BMW 5 Series,BMW,2009,691000,57047,Diesel
1895,Audi A4 35,Audi,2014,1636000,6764,Diesel
1896,Tata Nexon XZ,Tata,2003,25000,117229,Diesel
1897,Datsun GO Plus,Datsun,2005,25000,24440,Petrol
1898,Jeep Compass Longitude,Jeep,2007,61000,55055,Petrol
1899,Nissan Terrano XL,Nissan,2012,34000,108923,Petrol
1900,Datsun redi-GO T,Datsun,2014,53000,26331,Diesel
1901,Mahindra KUV100 K8,Mahindra,2022,175000,78925,Diesel
1902,Mini Cooper D,Mini,2017,1823000,4254,Diesel
1903,Hyundai Elite i20,Hyundai,2009,41000,46593,Petrol
1904,Land Rover Discovery,Land,2003,657000,16138,Petrol
1905,Nissan Terrano XL,Nissan,2015,69000,41383,Diesel
1906,Honda Brio S,Honda,2023,211000,47709,Diesel
1907,Toyota Innova 2.5,Toyota,2017,120000,53597,Diesel
1908,Volkswagen Ameo Highline,Volkswagen,2002,28000,6871,Diesel
1909,Honda WR-V i-VTEC,Honda,2003,25000,141520,Diesel
1910,Toyota Etios VXD,Toyota,2005,54000,4016,Diesel
1911,Mahindra Scorpio SLE,Mahindra,2017,85000,121848,Diesel
1912,Honda Civic 1.8,Honda,2022,216000,289,Diesel
1913,Volkswagen Vento Highline,Volkswagen,2012,52000,172164,Diesel
1914,Ford Figo Aspire,Ford,2017,58000,149847,Petrol
1915,Honda Amaze S,Honda,2023,219000,21645,Petrol
1916,Volvo S60 D4,Volvo,2009,647000,59403,Diesel
1917,Chevrolet Tavera Neo,Chevrolet,2023,91000,154970,Diesel
1918,BMW 5 Series,BMW,2023,3235000,38168,Petrol
1919,Mini Cooper S,Mini,2008,530000,47855,Petrol
1920,Renault Kwid RXT,Renault,2014,52000,84649,Petrol
1921,Nissan Micra XV,Nissan,2022,95000,151409,Diesel
1922,Volvo XC60 D5,Volvo,2019,1308000,115407,Petrol
1923,Jeep Compass Limited,Jeep,2012,92000,48942,Diesel
1924,Fiat Linea Active,Fiat,2023,160000,25397,Diesel
1925,Nissan Sunny XL,Nissan,2022,145000,6762,Petrol
1926,Ford EcoSport Titanium,Ford,2019,105000,77619,Petrol
1927,BMW X1 sDrive20d,BMW,2004,322000,132410,Petrol
1928,Jeep Compass Longitude,Jeep,2006,38000,178508,Petrol
1929,Nissan Terrano XL,Nissan,2021,136000,39885,Petrol
1930,Renault Kwid RXT,Renault,2013,62000,41715,Petrol
1931,Volvo S60 D4,Volvo,2006,413000,141873,Diesel
1932,Datsun redi-GO T,Datsun,2014,37000,136873,Diesel
1933,Honda Brio S,Honda,2011,69000,192,Petrol
1934,Skoda Fabia Classic,Skoda,2021,93000,155809,Petrol
1935,Honda WR-V i-VTEC,Honda,2007,42000,63660,Diesel
1936,Datsun GO Plus,Datsun,2008,25000,65261,Diesel
1937,Volkswagen Vento Highline,Volkswagen,2014,79000,32467,Petrol
1938,Volkswagen Ameo Highline,Volkswagen,2002,25000,167021,Petrol
1939,Mini Cooper D,Mini,2009,433000,173225,Diesel
1940,Volvo XC60 D5,Volvo,2006,699000,18555,Diesel
1941,Hyundai i10 Sportz,Hyundai,2010,55000,29679,Diesel
1942,Land Rover Discovery,Land,2011,946000,58986,Petrol
1943,Volvo XC60 D5,Volvo,2009,546000,174402,Diesel
1944,BMW 3 Series,BMW,2022,3314000,27674,Diesel
1945,Volkswagen Ameo Highline,Volkswagen,2015,69000,174944,Diesel
1946,Ford Fiesta Classic,Ford,2017,85000,63733,Diesel
1947,Volkswagen Polo Highline,Volkswagen,2017,77000,147076,Diesel
1948,Jaguar XF Portfolio,Jaguar,2003,349000,157822,Petrol
1949,Ford Endeavour 4x4,Ford,2005,32000,30894,Petrol
1950,Volvo XC60 D5,Volvo,2014,1460000,10550,Diesel
1951,Audi Q7,Audi,2018,2328000,9871,Diesel
1952,BMW X1 sDrive20d,BMW,2002,341000,56733,Petrol
1953,Ford EcoSport Ambiente,Ford,2015,106000,7538,Diesel
1954,Jaguar XF Portfolio,Jaguar,2013,1221000,65295,Diesel
1955,Audi Q3 35,Audi,2007,659000,54987,Diesel
1956,Toyota Fortuner 3.0,Toyota,2004,31000,87594,Diesel
1957,Renault Triber RXZ,Renault,2011,54000,26654,Petrol
1958,Mercedes GLA 200d,Mercedes,2007,470000,100421,Petrol
1959,Nissan Sunny XL,Nissan,2016,65000,94855,Petrol
1960,Ford Figo,Ford,2020,116000,81502,Diesel
1961,Datsun GO Plus,Datsun,2004,25000,52166,Petrol
1962,Jaguar XF Portfolio,Jaguar,2010,1077000,38311,Diesel
1963,Datsun GO T,Datsun,2011,25000,160904,Petrol
1964,Hyundai Eon Era,Hyundai,2019,109000,40735,Diesel
1965,Land Rover Freelander,Land,2009,943000,59300,Diesel
1966,Maruti Suzuki Wagon,Maruti,2009,53000,5545,CNG
1967,Fiat Punto Active,Fiat,2015,65000,48873,Diesel
1968,Datsun GO Plus,Datsun,2010,26000,95512,Diesel
1969,Renault Triber RXZ,Renault,2019,87000,93704,Petrol
1970,Land Rover Freelander,Land,2019,1451000,151870,Petrol
1971,Jeep Compass Limited,Jeep,2019,157000,82278,Petrol
1972,Nissan Terrano XL,Nissan,2022,90000,145346,Petrol
1973,Hyundai Venue SX,Hyundai,2021,100000,114885,Diesel
1974,Toyota Innova 2.5,Toyota,2019,108000,117663,Petrol
1975,Land Rover Freelander,Land,2004,367000,178884,Diesel
1976,Mitsubishi Lancer 1.8,Mitsubishi,2002,25000,156793,Diesel
1977,Honda WR-V i-VTEC,Honda,2008,30000,173587,Diesel
1978,Skoda Rapid Elegance,Skoda,2009,32000,149484,Diesel
1979,Jaguar XF Portfolio,Jaguar,2002,327000,159901,Petrol
1980,Ford Freestyle Titanium,Ford,2004,25000,161017,Petrol
1981,Tata Nano Lx,Tata,2021,102000,47113,Petrol
1982,Ford EcoSport Ambiente,Ford,2004,33000,24783,Diesel
1983,Datsun redi-GO T,Datsun,2014,35000,124463,Petrol
1984,Skoda Rapid Elegance,Skoda,2007,29000,112916,Diesel
1985,Datsun GO T,Datsun,2009,25000,92165,Petrol
1986,Jeep Compass Limited,Jeep,2002,27000,159001,Petrol
1987,Nissan Micra XV,Nissan,2007,35000,553,Petrol
1988,Maruti Suzuki Ciaz,Maruti,2020,98000,98361,Petrol
1989,Volvo XC60 D5,Volvo,2007,444000,140403,Petrol
1990,Jaguar XE Prestige,Jaguar,2021,2253000,98185,Petrol
1991,Toyota Glanza G,Toyota,2006,30000,116781,Petrol
1992,Ford Freestyle Titanium,Ford,2011,44000,76496,Petrol
1993,Jeep Compass Longitude,Jeep,2005,33000,130556,Petrol
1994,Chevrolet Tavera Neo,Chevrolet,2023,91000,143749,Diesel
1995,Jaguar XE Prestige,Jaguar,2012,1032000,64645,Diesel
1996,Mercedes C-Class C220d,Mercedes,2014,1447000,11002,Diesel
1997,Mercedes GLA 200d,Mercedes,2020,2644000,25994,Petrol
1998,Jeep Compass Limited,Jeep,2019,114000,168710,Petrol
1999,Tata Tiago Revotron,Tata,2022,89000,111857,Diesel
2000,Maruti Suzuki Vitara,Maruti,2005,25000,84383,CNG
2001,Skoda Octavia Elegance,Skoda,2003,25000,138394,Petrol
2002,Mitsubishi Pajero Sport,Mitsubishi,2022,154000,82322,Petrol
2003,Skoda Rapid Elegance,Skoda,2008,38000,92313,Petrol
2004,BMW X1 sDrive20d,BMW,2018,1239000,137459,Petrol
2005,Hyundai Eon Era,Hyundai,2005,25000,119961,Petrol
2006,Datsun GO T,Datsun,2005,25000,76237,Petrol
2007,Chevrolet Spark LT,Chevrolet,2014,56000,59966,Diesel
2008,Honda Amaze S,Honda,2021,160000,64632,Diesel
2009,Land Rover Discovery,Land,2003,369000,117836,Petrol
2010,Mini Cooper S,Mini,2005,423000,41760,Diesel
2011,Toyota Yaris VX,Toyota,2010,42000,178595,Diesel
2012,Mitsubishi Lancer 1.8,Mitsubishi,2005,45000,31400,Diesel
2013,Mahindra TUV300 T8,Mahindra,2008,56000,33422,Petrol
2014,Ford EcoSport Titanium,Ford,2009,51000,10069,Diesel
2015,Mahindra XUV500 W8,Mahindra,2015,64000,161402,Diesel
2016,Volvo S60 D4,Volvo,2023,1918000,132120,Petrol
2017,Hyundai Tucson 2WD,Hyundai,2002,27000,40132,Diesel
2018,Toyota Corolla Altis,Toyota,2016,104000,52699,Petrol
2019,Skoda Octavia Elegance,Skoda,2004,30000,59144,Petrol
2020,Audi A4 35,Audi,2016,1688000,18288,Petrol
2021,Toyota Etios VXD,Toyota,2019,108000,83344,Petrol
2022,Jeep Compass Longitude,Jeep,2021,220000,44642,Diesel
2023,Ford Fiesta Classic,Ford,2009,50000,1647,Diesel
2024,Datsun GO Plus,Datsun,2005,25000,58956,Petrol
2025,Mini Cooper D,Mini,2020,1216000,169127,Diesel
2026,Audi A6 2.0,Audi,2023,1913000,128697,Diesel
2027,Audi A8,Audi,2006,373000,119171,Diesel
2028,Toyota Fortuner 3.0,Toyota,2010,71000,42126,Diesel
2029,Skoda Fabia Classic,Skoda,2003,25000,120668,Diesel
2030,Renault Lodgy 110PS,Renault,2006,25000,164333,Diesel
2031,BMW 5 Series,BMW,2016,1066000,116463,Diesel
2032,Jaguar XF Portfolio,Jaguar,2006,426000,139019,Petrol
2033,Mitsubishi Pajero Sport,Mitsubishi,2023,158000,162334,Diesel
2034,BMW 5 Series,BMW,2022,2166000,80551,Petrol
2035,Fiat Linea Active,Fiat,2011,26000,163571,Diesel
2036,Fiat Punto Active,Fiat,2023,92000,100839,Diesel
2037,Land Rover Freelander,Land,2014,948000,148838,Petrol
2038,Mitsubishi Pajero Sport,Mitsubishi,2022,121000,105449,Petrol
2039,Renault Kwid RXT,Renault,2017,72000,82993,Petrol
2040,Mahindra Jeep CL550,Mahindra,2002,35000,13928,Diesel
2041,Nissan Micra XV,Nissan,2006,32000,55939,Diesel
2042,Chevrolet Tavera Neo,Chevrolet,2017,51000,88867,Petrol
2043,Fiat Punto Active,Fiat,2006,25000,42896,Diesel
2044,BMW 3 Series,BMW,2019,1496000,144887,Diesel
2045,Renault Duster 110,Renault,2023,146000,38542,Diesel
2046,Datsun redi-GO T,Datsun,2014,34000,125111,Petrol
2047,Mercedes GLA 200d,Mercedes,2020,2128000,90232,Diesel
2048,Mahindra Scorpio S10,Mahindra,2006,29000,163686,Diesel
2049,Ford Freestyle Titanium,Ford,2023,162000,51776,Diesel
2050,Mahindra Thar CRDe,Mahindra,2021,118000,129795,Diesel
2051,Toyota Corolla Altis,Toyota,2010,72000,50437,Diesel
2052,Maruti Suzuki Vitara,Maruti,2012,59000,43847,Petrol
2053,Volkswagen Jetta Comfortline,Volkswagen,2015,65000,88578,Petrol
2054,Jaguar XF Portfolio,Jaguar,2023,3985000,21135,Diesel
2055,Volvo S60 D4,Volvo,2020,2466000,5136,Diesel
2056,Datsun redi-GO T,Datsun,2003,25000,176235,Diesel
2057,Jeep Compass Limited,Jeep,2015,106000,89786,Petrol
2058,Fiat Punto Active,Fiat,2017,60000,73930,Diesel
2059,Jaguar XE Prestige,Jaguar,2023,2413000,83622,Petrol
2060,Ford Figo,Ford,2004,26000,46527,Diesel
2061,Renault Duster 110,Renault,2004,32000,2628,Petrol
2062,Volvo S60 D4,Volvo,2006,393000,152865,Diesel
2063,Jaguar XE Prestige,Jaguar,2021,3101000,32075,Petrol
2064,Mahindra Scorpio S10,Mahindra,2004,37000,24108,Diesel
2065,Tata Indica V2,Tata,2004,25000,101523,Diesel
2066,Tata Tigor XZ,Tata,2017,53000,158817,Petrol
2067,Mitsubishi Pajero Sport,Mitsubishi,2016,94000,48577,Petrol
2068,Volkswagen Vento Highline,Volkswagen,2019,90000,150946,Petrol
2069,Mahindra XUV500 W8,Mahindra,2007,34000,84354,Diesel
2070,Mitsubishi Lancer 1.8,Mitsubishi,2021,115000,108177,Diesel
2071,Nissan Terrano XL,Nissan,2009,28000,139180,Petrol
2072,Volkswagen Ameo Highline,Volkswagen,2007,42000,17048,Petrol
2073,Hyundai Tucson 2WD,Hyundai,2015,82000,21058,Diesel
2074,Mahindra Thar CRDe,Mahindra,2020,117000,94859,Petrol
2075,Mahindra Bolero SLE,Mahindra,2012,52000,118271,Diesel
2076,Mercedes E-Class E220d,Mercedes,2017,1342000,82275,Petrol
2077,Land Rover Discovery,Land,2015,1108000,121982,Diesel
2078,Datsun redi-GO T,Datsun,2016,35000,118635,Petrol
2079,BMW 3 Series,BMW,2006,568000,83127,Diesel
2080,Datsun redi-GO T,Datsun,2002,25000,113970,Petrol
2081,Tata Indica V2,Tata,2002,25000,102674,Diesel
2082,Maruti Suzuki Vitara,Maruti,2014,78000,41601,Diesel
2083,Volkswagen Vento Highline,Volkswagen,2008,31000,127642,Diesel
2084,Toyota Fortuner 3.0,Toyota,2023,286000,15765,Diesel
2085,Chevrolet Tavera Neo,Chevrolet,2021,80000,75943,Petrol
2086,Tata Nexon XZ,Tata,2017,103000,3499,Diesel
2087,Skoda Octavia Elegance,Skoda,2021,106000,112559,Petrol
2088,Chevrolet Sail UVA,Chevrolet,2006,25000,96979,Diesel
2089,BMW 3 Series,BMW,2008,633000,85611,Petrol
2090,Mini Cooper D,Mini,2010,509000,145588,Diesel
2091,Tata Nano Lx,Tata,2012,35000,165953,Petrol
2092,Renault Lodgy 110PS,Renault,2020,72000,123242,Petrol
2093,Datsun GO T,Datsun,2021,75000,84419,Petrol
2094,Volkswagen Polo Highline,Volkswagen,2016,74000,102225,Petrol
2095,Nissan Terrano XL,Nissan,2017,61000,147392,Petrol
2096,Mercedes E-Class E220d,Mercedes,2021,1849000,140690,Petrol
2097,Volvo S60 D4,Volvo,2011,994000,15976,Petrol
2098,Renault Lodgy 110PS,Renault,2015,84000,2961,Diesel
2099,Maruti Suzuki Alto,Maruti,2022,85000,168917,CNG
2100,Honda WR-V i-VTEC,Honda,2022,127000,100244,Petrol
2101,Ford EcoSport Ambiente,Ford,2016,79000,72438,Petrol
2102,Toyota Glanza G,Toyota,2006,32000,84721,Petrol
2103,Fiat Linea Active,Fiat,2013,60000,37259,Diesel
2104,Maruti Suzuki Eeco,Maruti,2015,51000,169531,Diesel
2105,Hyundai Creta 1.6,Hyundai,2012,44000,148373,Petrol
2106,Land Rover Freelander,Land,2017,2061000,16845,Petrol
2107,Toyota Yaris VX,Toyota,2009,74000,24180,Diesel
2108,BMW 5 Series,BMW,2004,351000,129194,Diesel
2109,Mini Cooper D,Mini,2006,351000,143780,Petrol
2110,Ford Freestyle Titanium,Ford,2010,41000,59710,Petrol
2111,Maruti Suzuki Alto,Maruti,2022,117000,59218,CNG
2112,Renault Kwid RXT,Renault,2006,25000,131325,Diesel
2113,Jaguar XF Portfolio,Jaguar,2002,326000,133858,Diesel
2114,Land Rover Discovery,Land,2019,2516000,17915,Petrol
2115,Renault Lodgy 110PS,Renault,2002,25000,91688,Petrol
2116,Toyota Fortuner 3.0,Toyota,2008,59000,40012,Petrol
2117,Skoda Rapid Elegance,Skoda,2019,91000,98220,Diesel
2118,Volvo XC60 D5,Volvo,2012,1061000,51420,Diesel
2119,Mini Cooper D,Mini,2016,1589000,7654,Diesel
2120,Jeep Compass Limited,Jeep,2008,56000,48552,Petrol
2121,Tata Nano Lx,Tata,2020,96000,78378,Petrol
2122,Nissan Sunny XL,Nissan,2003,25000,169924,Petrol
2123,Volkswagen Vento Highline,Volkswagen,2018,128000,6342,Diesel
2124,Chevrolet Spark LT,Chevrolet,2017,52000,101961,Diesel
2125,Toyota Fortuner 3.0,Toyota,2017,92000,147118,Diesel
2126,Renault Duster 110,Renault,2021,145000,28217,Petrol
2127,Maruti Suzuki Wagon,Maruti,2002,25000,79646,CNG
2128,Toyota Innova 2.5,Toyota,2003,25000,96582,Petrol
2129,Nissan Micra XV,Nissan,2010,29000,109541,Petrol
2130,Ford EcoSport Ambiente,Ford,2006,35000,68971,Diesel
2131,Tata Indica V2,Tata,2022,93000,178837,Petrol
2132,Toyota Innova 2.5,Toyota,2005,43000,22669,Petrol
2133,Land Rover Discovery,Land,2010,1146000,6013,Diesel
2134,Tata Indica V2,Tata,2014,37000,177838,Diesel
2135,Audi A8,Audi,2007,778000,3578,Petrol
2136,Volkswagen Ameo Highline,Volkswagen,2017,95000,53236,Diesel
2137,Tata Nano Lx,Tata,2016,96000,610,Petrol
2138,BMW X1 sDrive20d,BMW,2017,1469000,60791,Petrol
2139,Nissan Sunny XL,Nissan,2017,55000,142861,Petrol
2140,Fiat Punto Active,Fiat,2012,32000,167692,Diesel
2141,Nissan Sunny XL,Nissan,2013,53000,76763,Petrol
2142,Mercedes GLA 200d,Mercedes,2019,1723000,107009,Diesel
2143,Volkswagen Vento Highline,Volkswagen,2012,52000,94122,Diesel
2144,Jaguar XE Prestige,Jaguar,2003,407000,90134,Petrol
2145,Toyota Glanza G,Toyota,2006,39000,54052,Diesel
2146,Ford Endeavour 4x4,Ford,2019,137000,11104,Petrol
2147,Fiat Punto Active,Fiat,2009,25000,179409,Diesel
2148,Nissan Terrano XL,Nissan,2014,42000,137233,Diesel
2149,BMW X1 sDrive20d,BMW,2005,485000,59295,Diesel
2150,Tata Tigor XZ,Tata,2002,25000,132354,Petrol
2151,Land Rover Discovery,Land,2009,739000,106561,Diesel
2152,Ford Freestyle Titanium,Ford,2008,43000,6261,Petrol
2153,Toyota Yaris VX,Toyota,2004,42000,17669,Diesel
2154,Nissan Terrano XL,Nissan,2014,78000,2870,Diesel
2155,Skoda Rapid Elegance,Skoda,2021,112000,154683,Diesel
2156,Jaguar XF Portfolio,Jaguar,2003,346000,131170,Diesel
2157,Mercedes E-Class E220d,Mercedes,2019,2543000,25791,Diesel
2158,Nissan Terrano XL,Nissan,2017,94000,7263,Diesel
2159,Mahindra TUV300 T8,Mahindra,2010,36000,142636,Diesel
2160,Land Rover Freelander,Land,2016,1303000,99675,Diesel
2161,Hyundai Verna 1.6,Hyundai,2011,36000,144967,Diesel
2162,Maruti Suzuki Eeco,Maruti,2006,25000,155663,Petrol
2163,Jeep Compass Longitude,Jeep,2016,132000,72121,Diesel
2164,Hyundai Creta 1.6,Hyundai,2020,131000,30946,Diesel
2165,Toyota Innova 2.5,Toyota,2011,48000,157680,Diesel
2166,Mahindra XUV500 W8,Mahindra,2017,69000,127566,Diesel
2167,Mini Cooper S,Mini,2014,1167000,11601,Diesel
2168,Jaguar XF Portfolio,Jaguar,2009,544000,116666,Petrol
2169,Volvo S60 D4,Volvo,2016,1047000,130161,Diesel
2170,Land Rover Discovery,Land,2022,2090000,142571,Petrol
2171,BMW X1 sDrive20d,BMW,2015,1419000,17647,Petrol
2172,Jaguar XF Portfolio,Jaguar,2017,1477000,105305,Petrol
2173,Ford EcoSport Titanium,Ford,2007,43000,22743,Petrol
2174,Fiat Linea Active,Fiat,2019,74000,69045,Diesel
2175,Toyota Glanza G,Toyota,2015,101000,30469,Petrol
2176,Honda Brio S,Honda,2014,90000,3034,Diesel
2177,Ford Endeavour 4x4,Ford,2023,141000,69800,Petrol
2178,Chevrolet Spark LT,Chevrolet,2017,68000,56083,Petrol
2179,Tata Indica V2,Tata,2007,25000,101774,Petrol
2180,Jeep Compass Longitude,Jeep,2004,30000,125323,Petrol
2181,BMW X1 sDrive20d,BMW,2013,1099000,59172,Diesel
2182,Hyundai Verna 1.6,Hyundai,2014,89000,7352,Petrol
2183,Datsun redi-GO T,Datsun,2021,86000,59009,Petrol
2184,Jeep Compass Limited,Jeep,2022,150000,166651,Petrol
2185,Mercedes C-Class C220d,Mercedes,2015,955000,157339,Petrol
2186,Land Rover Freelander,Land,2022,3689000,10572,Diesel
2187,Mini Cooper D,Mini,2011,604000,140423,Diesel
2188,Mercedes GLA 200d,Mercedes,2017,1263000,101312,Petrol
2189,Mercedes E-Class E220d,Mercedes,2019,1336000,135627,Petrol
2190,Volkswagen Ameo Highline,Volkswagen,2021,99000,134715,Petrol
2191,Renault Kwid RXT,Renault,2013,52000,80407,Petrol
2192,BMW 5 Series,BMW,2010,636000,156799,Diesel
2193,Volvo S60 D4,Volvo,2011,933000,49898,Diesel
2194,Tata Nexon XZ,Tata,2020,64000,136444,Petrol
2195,Skoda Octavia Elegance,Skoda,2009,46000,54031,Diesel
2196,Mercedes E-Class E220d,Mercedes,2009,655000,102763,Diesel
2197,Audi Q7,Audi,2012,1111000,38462,Diesel
2198,Datsun GO Plus,Datsun,2014,54000,956,Petrol
2199,Mercedes E-Class E220d,Mercedes,2019,1496000,153082,Diesel
2200,Volkswagen Polo Highline,Volkswagen,2015,63000,164755,Diesel
2201,Datsun redi-GO T,Datsun,2005,25000,36728,Petrol
2202,Hyundai Santro Xing,Hyundai,2004,25000,72807,Petrol
2203,Ford Fiesta Classic,Ford,2023,101000,111056,Petrol
2204,Hyundai Santro Xing,Hyundai,2005,25000,88601,Diesel
2205,Renault Triber RXZ,Renault,2019,72000,92781,Petrol
2206,Toyota Innova 2.5,Toyota,2020,122000,161091,Diesel
2207,Renault Lodgy 110PS,Renault,2009,39000,63545,Diesel
2208,Renault Triber RXZ,Renault,2005,35000,930,Petrol
2209,Volvo XC60 D5,Volvo,2016,1187000,56038,Petrol
2210,Land Rover Discovery,Land,2016,2109000,39522,Diesel
2211,Maruti Suzuki Alto,Maruti,2010,43000,53873,CNG
2212,Chevrolet Sail UVA,Chevrolet,2002,25000,130918,Diesel
2213,Nissan Micra XV,Nissan,2004,25000,157636,Diesel
2214,Tata Tiago Revotron,Tata,2013,38000,106295,Diesel
2215,Renault Lodgy 110PS,Renault,2021,87000,123232,Petrol
2216,Mini Cooper S,Mini,2016,1589000,5835,Diesel
2217,Maruti Suzuki Vitara,Maruti,2015,44000,116839,CNG
2218,Renault Triber RXZ,Renault,2013,50000,68220,Diesel
2219,Mitsubishi Pajero Sport,Mitsubishi,2003,25000,100093,Diesel
2220,Land Rover Freelander,Land,2004,367000,161436,Petrol
2221,Volkswagen Jetta Comfortline,Volkswagen,2006,34000,76948,Petrol
2222,Toyota Etios VXD,Toyota,2015,83000,81783,Petrol
2223,Mahindra Jeep CL550,Mahindra,2020,91000,171705,Petrol
2224,BMW 3 Series,BMW,2009,968000,4604,Petrol
2225,Ford EcoSport Ambiente,Ford,2007,27000,140072,Petrol
2226,Toyota Corolla Altis,Toyota,2018,156000,5531,Petrol
2227,Mercedes C-Class C220d,Mercedes,2006,604000,63519,Diesel
2228,Renault Lodgy 110PS,Renault,2007,33000,28903,Petrol
2229,Hyundai Grand i10,Hyundai,2014,71000,35726,Petrol
2230,Mercedes GLA 200d,Mercedes,2014,1018000,144361,Diesel
2231,Mini Cooper D,Mini,2021,1495000,151480,Diesel
2232,BMW 3 Series,BMW,2018,1327000,131100,Petrol
2233,Volvo XC60 D5,Volvo,2011,947000,30387,Diesel
2234,Maruti Suzuki Celerio,Maruti,2017,81000,52188,Petrol
2235,Honda WR-V i-VTEC,Honda,2020,150000,36759,Diesel
2236,Renault Lodgy 110PS,Renault,2010,31000,127705,Diesel
2237,Tata Nexon XZ,Tata,2006,25000,109099,Petrol
2238,Mini Cooper S,Mini,2011,557000,98151,Petrol
2239,Mini Cooper D,Mini,2004,274000,156924,Diesel
2240,Mercedes C-Class C220d,Mercedes,2017,2001000,17861,Diesel
2241,Jeep Compass Longitude,Jeep,2002,42000,26655,Petrol
2242,Hyundai Santro Xing,Hyundai,2018,92000,57429,Diesel
2243,Volvo XC60 D5,Volvo,2013,699000,163093,Diesel
2244,Jeep Compass Longitude,Jeep,2016,101000,127899,Diesel
2245,Fiat Punto Active,Fiat,2006,25000,99170,Diesel
2246,Mini Cooper D,Mini,2006,455000,37379,Petrol
2247,Datsun GO T,Datsun,2003,25000,11637,Diesel
2248,BMW X1 sDrive20d,BMW,2008,483000,109568,Petrol
2249,Tata Indica V2,Tata,2004,25000,42932,Petrol
2250,Mahindra XUV500 W8,Mahindra,2016,102000,43512,Petrol
2251,Audi Q3 35,Audi,2021,2022000,97648,Diesel
2252,Fiat Linea Active,Fiat,2022,84000,174410,Diesel
2253,Land Rover Discovery,Land,2021,2816000,64403,Petrol
2254,Volkswagen Ameo Highline,Volkswagen,2018,114000,78892,Diesel
2255,Hyundai Tucson 2WD,Hyundai,2011,52000,67639,Petrol
2256,Renault Kwid RXT,Renault,2016,83000,40275,Petrol
2257,BMW X1 sDrive20d,BMW,2014,863000,110014,Diesel
2258,Volvo XC60 D5,Volvo,2023,3526000,17485,Diesel
2259,Datsun redi-GO T,Datsun,2006,25000,108686,Diesel
2260,Nissan Micra XV,Nissan,2011,51000,61882,Diesel
2261,Datsun GO Plus,Datsun,2008,25000,106351,Diesel
2262,Volvo S60 D4,Volvo,2012,1038000,41831,Diesel
2263,Ford EcoSport Titanium,Ford,2004,34000,2325,Petrol
2264,Mahindra Scorpio S10,Mahindra,2003,35000,647,Diesel
2265,Nissan Terrano XL,Nissan,2023,101000,93751,Petrol
2266,Chevrolet Beat LT,Chevrolet,2003,25000,152894,Petrol
2267,Tata Nano Lx,Tata,2014,38000,128644,Petrol
2268,Jeep Compass Longitude,Jeep,2021,166000,74665,Petrol
2269,Volkswagen Vento Highline,Volkswagen,2022,114000,135075,Petrol
2270,Skoda Fabia Classic,Skoda,2014,66000,88877,Petrol
2271,Nissan Terrano XL,Nissan,2011,42000,77079,Diesel
2272,Skoda Octavia Elegance,Skoda,2012,62000,55293,Petrol
2273,Hyundai Grand i10,Hyundai,2003,25000,154157,Petrol
2274,Honda Amaze S,Honda,2004,29000,74149,Diesel
2275,Land Rover Discovery,Land,2015,1259000,107547,Petrol
2276,Jaguar XF Portfolio,Jaguar,2008,529000,124153,Petrol
2277,Nissan Micra XV,Nissan,2003,27000,8325,Diesel
2278,Audi A8,Audi,2012,721000,117963,Petrol
2279,Land Rover Discovery,Land,2023,2514000,82619,Petrol
2280,Volkswagen Jetta Comfortline,Volkswagen,2004,25000,127736,Diesel
2281,Renault Lodgy 110PS,Renault,2010,41000,53120,Petrol
2282,Mini Cooper D,Mini,2012,580000,161286,Diesel
2283,Jeep Compass Longitude,Jeep,2008,72000,38846,Diesel
2284,Jeep Compass Limited,Jeep,2018,115000,102517,Petrol
2285,Hyundai Venue SX,Hyundai,2020,90000,143525,Diesel
2286,Hyundai Creta 1.6,Hyundai,2012,76000,4796,Diesel
2287,Mahindra TUV300 T8,Mahindra,2015,63000,121615,Petrol
2288,Mitsubishi Pajero Sport,Mitsubishi,2016,107000,69489,Diesel
2289,Renault Triber RXZ,Renault,2014,57000,69664,Petrol
2290,Audi A6 2.0,Audi,2014,1374000,689,Diesel
