name,company,year,Price,kms_driven,fuel_type
Fiat Punto Active,Fiat,2023,"92,000","1,00,839 kms",Diesel
Land Rover Freelander 2,Land,2014,"9,48,000","1,48,838 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2022,"1,21,000","1,05,449 kms",Petrol
Renault Kwid RXT,Renault,2017,"72,000","82,993 kms",Petrol
Mahindra Jeep CL550 MDI,Mahindra,2002,"35,000","13,928 kms",Diesel
Nissan Micra XV,Nissan,2006,"32,000","55,939 kms",Diesel
Chevrolet Tavera Neo 3,Chevrolet,2017,"51,000","88,867 kms",Petrol
Fiat Punto Active,Fiat,2006,"25,000","42,896 kms",Diesel
BMW 3 Series 320d,BMW,2019,"14,96,000","1,44,887 kms",Diesel
Renault Duster 110 PS RxL,Renault,2023,"1,46,000","38,542 kms",Diesel
Datsun redi-GO T,Datsun,2014,"34,000","1,25,111 kms",Petrol
Nissan Sunny XL,Nissan,2020,Ask For Price,"1,50,022 kms",Petrol
Mercedes GLA 200d,Mercedes,2020,"21,28,000","90,232 kms",Diesel
Mahindra Scorpio S10,Mahindra,2006,"29,000","1,63,686 kms",Diesel
Ford Freestyle Titanium,Ford,2023,"1,62,000","51,776 kms",Diesel
Mahindra Thar CRDe 4x4,Mahindra,2021,"1,18,000","1,29,795 kms",Diesel
Toyota Corolla Altis G,Toyota,2010,"72,000","50,437 kms",Diesel
Maruti Suzuki Vitara Brezza ZDi,Maruti,2012,"59,000","43,847 kms",Petrol
Volkswagen Jetta Comfortline TDI,Volkswagen,2015,"65,000","88,578 kms",Petrol
Jaguar XF Portfolio,Jaguar,2023,"39,85,000","21,135 kms",Diesel
Volvo S60 D4,Volvo,2020,"24,66,000","5,136 kms",Diesel
Datsun redi-GO T,Datsun,2003,"25,000","1,76,235 kms",Diesel
Jeep Compass Limited,Jeep,2015,"1,06,000","89,786 kms",Petrol
Fiat Punto Active,Fiat,2017,"60,000","73,930 kms",Diesel
Jaguar XE Prestige,Jaguar,2023,"24,13,000","83,622 kms",Petrol
Ford Figo,Ford,2004,"26,000","46,527 kms",Diesel
Renault Duster 110 PS RxL,Renault,2004,"32,000","2,628 kms",Petrol
Volvo S60 D4,Volvo,2006,"3,93,000","1,52,865 kms",Diesel
Jaguar XE Prestige,Jaguar,2021,"31,01,000","32,075 kms",Petrol
Mahindra Scorpio S10,Mahindra,2004,"37,000","24,108 kms",Diesel
Tata Indica V2 DLS,Tata,2004,"25,000","1,01,523 kms",Diesel
Tata Tigor XZ,Tata,2017,"53,000","1,58,817 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2016,"94,000","48,577 kms",Petrol
Volkswagen Vento Highline Diesel,Volkswagen,2019,"90,000","1,50,946 kms",Petrol
Mahindra XUV500 W8,Mahindra,2007,"34,000","84,354 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2021,"1,15,000","1,08,177 kms",Diesel
Nissan Terrano XL,Nissan,2009,"28,000","1,39,180 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2007,"42,000","17,048 kms",Petrol
Hyundai Tucson 2WD AT GLS,Hyundai,2015,"82,000","21,058 kms",Diesel
Mahindra Thar CRDe 4x4,Mahindra,2020,"1,17,000","94,859 kms",Petrol
Mahindra Bolero SLE,Mahindra,2012,"52,000","1,18,271 kms",Diesel
Mercedes E-Class E220d,Mercedes,2017,"13,42,000","82,275 kms",Petrol
Land Rover Discovery Sport,Land,2015,"11,08,000","1,21,982 kms",Diesel
Datsun redi-GO T,Datsun,2016,"35,000","1,18,635 kms",Petrol
BMW 3 Series 320d,BMW,2006,"5,68,000","83,127 kms",Diesel
Datsun redi-GO T,Datsun,2002,"25,000","1,13,970 kms",Petrol
Tata Indica V2 DLS,Tata,2002,"25,000","1,02,674 kms",Diesel
Maruti Suzuki Vitara Brezza ZDi,Maruti,2014,"78,000","41,601 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2008,"31,000","1,27,642 kms",Diesel
Toyota Fortuner 3.0 4x4 AT,Toyota,2023,"2,86,000","15,765 kms",Diesel
Chevrolet Tavera Neo 3,Chevrolet,2021,"80,000","75,943 kms",Petrol
Tata Nexon XZ Plus,Tata,2017,"1,03,000","3,499 kms",Diesel
Skoda Octavia Elegance 1.8 TSI,Skoda,2021,"1,06,000","1,12,559 kms",Petrol
Chevrolet Sail UVA LS,Chevrolet,2006,"25,000","96,979 kms",Diesel
BMW 3 Series 320d,BMW,2008,"6,33,000","85,611 kms",Petrol
Mini Cooper D,Mini,2010,"5,09,000","1,45,588 kms",Diesel
Tata Nano Lx,Tata,2012,"35,000","1,65,953 kms",Petrol
Renault Lodgy 110PS RxZ 8 Str,Renault,2020,"72,000","1,23,242 kms",Petrol
Datsun GO T,Datsun,2021,"75,000","84,419 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2016,"74,000","1,02,225 kms",Petrol
Honda Jazz V,Honda,2003,Ask For Price,"1,24,289 kms",Petrol
Nissan Terrano XL,Nissan,2017,"61,000","1,47,392 kms",Petrol
Mercedes E-Class E220d,Mercedes,2021,"18,49,000","1,40,690 kms",Petrol
Volvo S60 D4,Volvo,2011,"9,94,000","15,976 kms",Petrol
Renault Lodgy 110PS RxZ 8 Str,Renault,2015,"84,000","2,961 kms",Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2022,"85,000","1,68,917 kms",CNG
Honda WR-V i-VTEC VX,Honda,2022,"1,27,000","1,00,244 kms",Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"79,000","72,438 kms",Petrol
Toyota Glanza G,Toyota,2006,"32,000","84,721 kms",Petrol
Fiat Linea Active,Fiat,2013,"60,000","37,259 kms",Diesel
Maruti Suzuki Eeco 5 Seater,Maruti,2015,"51,000","1,69,531 kms",Diesel
Hyundai Creta 1.6 SX Option,Hyundai,2012,"44,000","1,48,373 kms",Petrol
Land Rover Freelander 2,Land,2017,"20,61,000","16,845 kms",Petrol
Toyota Yaris VX,Toyota,2009,"74,000","24,180 kms",Diesel
BMW 5 Series 520d,BMW,2004,"3,51,000","1,29,194 kms",Diesel
Mini Cooper D,Mini,2006,"3,51,000","1,43,780 kms",Petrol
Ford Freestyle Titanium,Ford,2010,"41,000","59,710 kms",Petrol
Maruti Suzuki Alto 800 Vxi,Maruti,2022,"1,17,000","59,218 kms",CNG
Renault Kwid RXT,Renault,2006,"25,000","1,31,325 kms",Diesel
Jaguar XF Portfolio,Jaguar,2002,"3,26,000","1,33,858 kms",Diesel
Land Rover Discovery Sport,Land,2019,"25,16,000","17,915 kms",Petrol
Renault Lodgy 110PS RxZ 8 Str,Renault,2002,"25,000","91,688 kms",Petrol
Toyota Fortuner 3.0 4x4 AT,Toyota,2008,"59,000","40,012 kms",Petrol
Skoda Rapid Elegance 1.6 MPI,Skoda,2019,"91,000","98,220 kms",Diesel
Volvo XC60 D5,Volvo,2012,"10,61,000","51,420 kms",Diesel
Mini Cooper D,Mini,2016,"15,89,000","7,654 kms",Diesel
Jeep Compass Limited,Jeep,2008,"56,000","48,552 kms",Petrol
Tata Nano Lx,Tata,2020,"96,000","78,378 kms",Petrol
Nissan Sunny XL,Nissan,2003,"25,000","1,69,924 kms",Petrol
Volkswagen Vento Highline Diesel,Volkswagen,2018,"1,28,000","6,342 kms",Diesel
Chevrolet Spark LT,Chevrolet,2017,"52,000","1,01,961 kms",Diesel
Toyota Fortuner 3.0 4x4 AT,Toyota,2017,"92,000","1,47,118 kms",Diesel
Renault Duster 110 PS RxL,Renault,2021,"1,45,000","28,217 kms",Petrol
Maruti Suzuki Wagon R 1.0 VXI,Maruti,2002,"25,000","79,646 kms",CNG
Toyota Innova 2.5 G,Toyota,2003,"25,000","96,582 kms",Petrol
Nissan Micra XV,Nissan,2010,"29,000","1,09,541 kms",Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2006,"35,000","68,971 kms",Diesel
Tata Indica V2 DLS,Tata,2022,"93,000","1,78,837 kms",Petrol
Toyota Innova 2.5 G,Toyota,2005,"43,000","22,669 kms",Petrol
Land Rover Discovery Sport,Land,2010,"11,46,000","6,013 kms",Diesel
Tata Indica V2 DLS,Tata,2014,"37,000","1,77,838 kms",Diesel
Audi A8,Audi,2007,"7,78,000","3,578 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2017,"95,000","53,236 kms",Diesel
Tata Nano Lx,Tata,2016,"96,000",610 kms,Petrol
BMW X1 sDrive20d,BMW,2017,"14,69,000","60,791 kms",Petrol
Nissan Sunny XL,Nissan,2017,"55,000","1,42,861 kms",Petrol
Fiat Punto Active,Fiat,2012,"32,000","1,67,692 kms",Diesel
Nissan Sunny XL,Nissan,2013,"53,000","76,763 kms",Petrol
Mercedes GLA 200d,Mercedes,2019,"17,23,000","1,07,009 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2012,"52,000","94,122 kms",Diesel
Jaguar XE Prestige,Jaguar,2003,"4,07,000","90,134 kms",Petrol
Toyota Glanza G,Toyota,2006,"39,000","54,052 kms",Diesel
Ford Endeavour 4x4 AT,Ford,2019,"1,37,000","11,104 kms",Petrol
Fiat Punto Active,Fiat,2009,"25,000","1,79,409 kms",Diesel
Nissan Terrano XL,Nissan,2014,"42,000","1,37,233 kms",Diesel
BMW X1 sDrive20d,BMW,2005,"4,85,000","59,295 kms",Diesel
Tata Tigor XZ,Tata,2002,"25,000","1,32,354 kms",Petrol
Land Rover Discovery Sport,Land,2009,"7,39,000","1,06,561 kms",Diesel
Ford Freestyle Titanium,Ford,2008,"43,000","6,261 kms",Petrol
Toyota Yaris VX,Toyota,2004,"42,000","17,669 kms",Diesel
Nissan Terrano XL,Nissan,2014,"78,000","2,870 kms",Diesel
Skoda Rapid Elegance 1.6 MPI,Skoda,2021,"1,12,000","1,54,683 kms",Diesel
Jaguar XF Portfolio,Jaguar,2003,"3,46,000","1,31,170 kms",Diesel
Mercedes E-Class E220d,Mercedes,2019,"25,43,000","25,791 kms",Diesel
Nissan Terrano XL,Nissan,2017,"94,000","7,263 kms",Diesel
Mahindra TUV300 T8,Mahindra,2010,"36,000","1,42,636 kms",Diesel
Land Rover Freelander 2,Land,2016,"13,03,000","99,675 kms",Diesel
Hyundai Verna 1.6 SX,Hyundai,2011,"36,000","1,44,967 kms",Diesel
Maruti Suzuki Eeco 5 Seater,Maruti,2006,"25,000","1,55,663 kms",Petrol
Jeep Compass Longitude,Jeep,2016,"1,32,000","72,121 kms",Diesel
Hyundai Creta 1.6 SX Option,Hyundai,2020,"1,31,000","30,946 kms",Diesel
Toyota Innova 2.5 G,Toyota,2011,"48,000","1,57,680 kms",Diesel
Mahindra XUV500 W8,Mahindra,2017,"69,000","1,27,566 kms",Diesel
Mini Cooper S,Mini,2014,"11,67,000","11,601 kms",Diesel
Jaguar XF Portfolio,Jaguar,2009,"5,44,000","1,16,666 kms",Petrol
Volvo S60 D4,Volvo,2016,"10,47,000","1,30,161 kms",Diesel
Land Rover Discovery Sport,Land,2022,"20,90,000","1,42,571 kms",Petrol
BMW X1 sDrive20d,BMW,2015,"14,19,000","17,647 kms",Petrol
Jaguar XF Portfolio,Jaguar,2017,"14,77,000","1,05,305 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2007,"43,000","22,743 kms",Petrol
Fiat Linea Active,Fiat,2019,"74,000","69,045 kms",Diesel
Toyota Glanza G,Toyota,2015,"1,01,000","30,469 kms",Petrol
Honda Brio S MT,Honda,2014,"90,000","3,034 kms",Diesel
Ford Endeavour 4x4 AT,Ford,2023,"1,41,000","69,800 kms",Petrol
Chevrolet Spark LT,Chevrolet,2017,"68,000","56,083 kms",Petrol
Tata Indica V2 DLS,Tata,2007,"25,000","1,01,774 kms",Petrol
Jeep Compass Longitude,Jeep,2004,"30,000","1,25,323 kms",Petrol
BMW X1 sDrive20d,BMW,2013,"10,99,000","59,172 kms",Diesel
Hyundai Verna 1.6 SX,Hyundai,2014,"89,000","7,352 kms",Petrol
Datsun redi-GO T,Datsun,2021,"86,000","59,009 kms",Petrol
Jeep Compass Limited,Jeep,2022,"1,50,000","1,66,651 kms",Petrol
Mercedes C-Class C220d,Mercedes,2015,"9,55,000","1,57,339 kms",Petrol
Land Rover Freelander 2,Land,2022,"36,89,000","10,572 kms",Diesel
Mini Cooper D,Mini,2011,"6,04,000","1,40,423 kms",Diesel
Mercedes GLA 200d,Mercedes,2017,"12,63,000","1,01,312 kms",Petrol
Mercedes E-Class E220d,Mercedes,2019,"13,36,000","1,35,627 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2021,"99,000","1,34,715 kms",Petrol
Renault Kwid RXT,Renault,2013,"52,000","80,407 kms",Petrol
BMW 5 Series 520d,BMW,2010,"6,36,000","1,56,799 kms",Diesel
Volvo S60 D4,Volvo,2011,"9,33,000","49,898 kms",Diesel
Tata Nexon XZ Plus,Tata,2020,"64,000","1,36,444 kms",Petrol
Skoda Octavia Elegance 1.8 TSI,Skoda,2009,"46,000","54,031 kms",Diesel
Mercedes E-Class E220d,Mercedes,2009,"6,55,000","1,02,763 kms",Diesel
Audi Q7,Audi,2012,"11,11,000","38,462 kms",Diesel
Datsun GO Plus T,Datsun,2014,"54,000",956 kms,Petrol
Mercedes E-Class E220d,Mercedes,2019,"14,96,000","1,53,082 kms",Diesel
Volkswagen Polo Highline 1.2L,Volkswagen,2015,"63,000","1,64,755 kms",Diesel
Datsun redi-GO T,Datsun,2005,"25,000","36,728 kms",Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2004,"25,000","72,807 kms",Petrol
Ford Fiesta Classic CLXi,Ford,2023,"1,01,000","1,11,056 kms",Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2005,"25,000","88,601 kms",Diesel
Renault Triber RXZ,Renault,2019,"72,000","92,781 kms",Petrol
Chevrolet Spark LT,Chevrolet,2007,Ask For Price,"1,00,572 kms",Petrol
Toyota Innova 2.5 G,Toyota,2020,"1,22,000","1,61,091 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2009,"39,000","63,545 kms",Diesel
Renault Triber RXZ,Renault,2005,"35,000",930 kms,Petrol
Volvo XC60 D5,Volvo,2016,"11,87,000","56,038 kms",Petrol
Land Rover Discovery Sport,Land,2016,"21,09,000","39,522 kms",Diesel
Maruti Suzuki Alto K10 VXi,Maruti,2010,"43,000","53,873 kms",CNG
Chevrolet Sail UVA LS,Chevrolet,2002,"25,000","1,30,918 kms",Diesel
Nissan Micra XV,Nissan,2004,"25,000","1,57,636 kms",Diesel
Tata Tiago Revotron XZ,Tata,2013,"38,000","1,06,295 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2021,"87,000","1,23,232 kms",Petrol
Mini Cooper S,Mini,2016,"15,89,000","5,835 kms",Diesel
Maruti Suzuki Vitara Brezza ZDi,Maruti,2015,"44,000","1,16,839 kms",CNG
Renault Triber RXZ,Renault,2013,"50,000","68,220 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2003,"25,000","1,00,093 kms",Diesel
Land Rover Freelander 2,Land,2004,"3,67,000","1,61,436 kms",Petrol
Volkswagen Jetta Comfortline TDI,Volkswagen,2006,"34,000","76,948 kms",Petrol
Toyota Etios VXD,Toyota,2015,"83,000","81,783 kms",Petrol
Mahindra Jeep CL550 MDI,Mahindra,2020,"91,000","1,71,705 kms",Petrol
BMW 3 Series 320d,BMW,2009,"9,68,000","4,604 kms",Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2007,"27,000","1,40,072 kms",Petrol
Nissan Terrano XL,Nissan,2007,Ask For Price,"40,134 kms",Petrol
Toyota Corolla Altis G,Toyota,2018,"1,56,000","5,531 kms",Petrol
Mercedes C-Class C220d,Mercedes,2006,"6,04,000","63,519 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2007,"33,000","28,903 kms",Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"71,000","35,726 kms",Petrol
Mercedes GLA 200d,Mercedes,2014,"10,18,000","1,44,361 kms",Diesel
Mini Cooper D,Mini,2021,"14,95,000","1,51,480 kms",Diesel
BMW 3 Series 320d,BMW,2018,"13,27,000","1,31,100 kms",Petrol
Volvo XC60 D5,Volvo,2011,"9,47,000","30,387 kms",Diesel
Maruti Suzuki Celerio VXI,Maruti,2017,"81,000","52,188 kms",Petrol
Honda WR-V i-VTEC VX,Honda,2020,"1,50,000","36,759 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2010,"31,000","1,27,705 kms",Diesel
Tata Nexon XZ Plus,Tata,2006,"25,000","1,09,099 kms",Petrol
Mini Cooper S,Mini,2011,"5,57,000","98,151 kms",Petrol
Mini Cooper D,Mini,2004,"2,74,000","1,56,924 kms",Diesel
Mercedes C-Class C220d,Mercedes,2017,"20,01,000","17,861 kms",Diesel
Jeep Compass Longitude,Jeep,2002,"42,000","26,655 kms",Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2018,"92,000","57,429 kms",Diesel
Volvo XC60 D5,Volvo,2013,"6,99,000","1,63,093 kms",Diesel
Jeep Compass Longitude,Jeep,2016,"1,01,000","1,27,899 kms",Diesel
Fiat Punto Active,Fiat,2006,"25,000","99,170 kms",Diesel
Mini Cooper D,Mini,2006,"4,55,000","37,379 kms",Petrol
Datsun GO T,Datsun,2003,"25,000","11,637 kms",Diesel
BMW X1 sDrive20d,BMW,2008,"4,83,000","1,09,568 kms",Petrol
Tata Indica V2 DLS,Tata,2004,"25,000","42,932 kms",Petrol
Mahindra XUV500 W8,Mahindra,2016,"1,02,000","43,512 kms",Petrol
Audi Q3 35 TDI,Audi,2021,"20,22,000","97,648 kms",Diesel
Fiat Linea Active,Fiat,2022,"84,000","1,74,410 kms",Diesel
Land Rover Discovery Sport,Land,2021,"28,16,000","64,403 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2018,"1,14,000","78,892 kms",Diesel
Hyundai Tucson 2WD AT GLS,Hyundai,2011,"52,000","67,639 kms",Petrol
Renault Kwid RXT,Renault,2016,"83,000","40,275 kms",Petrol
BMW X1 sDrive20d,BMW,2014,"8,63,000","1,10,014 kms",Diesel
Volvo XC60 D5,Volvo,2023,"35,26,000","17,485 kms",Diesel
Datsun redi-GO T,Datsun,2006,"25,000","1,08,686 kms",Diesel
Nissan Micra XV,Nissan,2011,"51,000","61,882 kms",Diesel
Datsun GO Plus T,Datsun,2008,"25,000","1,06,351 kms",Diesel
Volvo S60 D4,Volvo,2012,"10,38,000","41,831 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2004,"34,000","2,325 kms",Petrol
Mahindra Scorpio S10,Mahindra,2003,"35,000",647 kms,Diesel
Nissan Terrano XL,Nissan,2023,"1,01,000","93,751 kms",Petrol
Chevrolet Beat LT,Chevrolet,2003,"25,000","1,52,894 kms",Petrol
Tata Nano Lx,Tata,2014,"38,000","1,28,644 kms",Petrol
Jeep Compass Longitude,Jeep,2021,"1,66,000","74,665 kms",Petrol
Volkswagen Vento Highline Diesel,Volkswagen,2022,"1,14,000","1,35,075 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2014,"66,000","88,877 kms",Petrol
Nissan Terrano XL,Nissan,2011,"42,000","77,079 kms",Diesel
Skoda Octavia Elegance 1.8 TSI,Skoda,2012,"62,000","55,293 kms",Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2003,"25,000","1,54,157 kms",Petrol
Honda Amaze S i-Dtech,Honda,2004,"29,000","74,149 kms",Diesel
Land Rover Discovery Sport,Land,2015,"12,59,000","1,07,547 kms",Petrol
Jaguar XF Portfolio,Jaguar,2008,"5,29,000","1,24,153 kms",Petrol
Nissan Micra XV,Nissan,2003,"27,000","8,325 kms",Diesel
Audi A8,Audi,2012,"7,21,000","1,17,963 kms",Petrol
Land Rover Discovery Sport,Land,2023,"25,14,000","82,619 kms",Petrol
Volkswagen Jetta Comfortline TDI,Volkswagen,2004,"25,000","1,27,736 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2010,"41,000","53,120 kms",Petrol
Mini Cooper D,Mini,2012,"5,80,000","1,61,286 kms",Diesel
Jeep Compass Longitude,Jeep,2008,"72,000","38,846 kms",Diesel
Jeep Compass Limited,Jeep,2018,"1,15,000","1,02,517 kms",Petrol
Hyundai Venue SX,Hyundai,2020,"90,000","1,43,525 kms",Diesel
Hyundai Creta 1.6 SX Option,Hyundai,2012,"76,000","4,796 kms",Diesel
Mahindra TUV300 T8,Mahindra,2015,"63,000","1,21,615 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2016,"1,07,000","69,489 kms",Diesel
Renault Triber RXZ,Renault,2014,"57,000","69,664 kms",Petrol
Audi A6 2.0 TDI,Audi,2014,"13,74,000",689 kms,Diesel
Volkswagen Jetta Comfortline TDI,Volkswagen,2002,"25,000","1,31,631 kms",Diesel
Mercedes GLA 200d,Mercedes,2008,"5,64,000","1,40,108 kms",Diesel
Datsun GO Plus T,Datsun,2012,"35,000","46,561 kms",Petrol
Chevrolet Spark LT,Chevrolet,2017,"75,000","5,523 kms",Petrol
Volkswagen Vento Highline Diesel,Volkswagen,2023,"1,62,000","76,729 kms",Diesel
Tata Tigor XZ,Tata,2007,"25,000","94,846 kms",Petrol
Fiat Punto Active,Fiat,2004,Ask For Price,"40,881 kms",Petrol
Renault Duster 110 PS RxL,Renault,2010,"46,000","47,016 kms",Petrol
Jeep Compass Limited,Jeep,2018,"1,89,000","32,107 kms",Diesel
Mahindra Thar CRDe 4x4,Mahindra,2004,"26,000","92,699 kms",Diesel
Volkswagen Polo Highline 1.2L,Volkswagen,2021,"1,57,000","22,755 kms",Petrol
Jeep Compass Longitude,Jeep,2017,"93,000","1,65,662 kms",Diesel
BMW 3 Series 320d,BMW,2018,"11,95,000","1,05,602 kms",Petrol
Mercedes GLA 200d,Mercedes,2004,"5,09,000","59,541 kms",Diesel
Chevrolet Sail UVA LS,Chevrolet,2008,Ask For Price,"11,100 kms",Petrol
Nissan Micra XV,Nissan,2023,"1,14,000","97,758 kms",Diesel
Chevrolet Tavera Neo 3,Chevrolet,2004,"25,000","35,248 kms",Petrol
Ford Endeavour 4x4 AT,Ford,2006,"25,000","1,24,206 kms",Diesel
Chevrolet Beat LT,Chevrolet,2021,"1,17,000","8,614 kms",Diesel
BMW 5 Series 520d,BMW,2003,"5,36,000","28,037 kms",Petrol
Honda Brio S MT,Honda,2010,"38,000","99,604 kms",Petrol
Mahindra Thar CRDe 4x4,Mahindra,2004,"25,000","1,30,722 kms",Diesel
Maruti Suzuki Wagon R 1.0 VXI,Maruti,2012,"60,000","48,537 kms",Petrol
Volvo S60 D4,Volvo,2013,"12,52,000","29,820 kms",Petrol
Chevrolet Beat LT,Chevrolet,2007,"25,000","1,51,202 kms",Petrol
Hyundai Creta 1.6 SX Option,Hyundai,2011,"39,000","1,44,333 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2019,"90,000","1,72,564 kms",Diesel
Hyundai Creta 1.6 SX Option,Hyundai,2015,"86,000","24,470 kms",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2020,"2,06,000","1,151 kms",Diesel
Nissan Sunny XL,Nissan,2019,"1,07,000","28,120 kms",Diesel
Renault Duster 110 PS RxL,Renault,2012,"55,000","44,239 kms",Petrol
Ford Fiesta Classic CLXi,Ford,2002,"25,000","1,23,390 kms",Petrol
Jaguar XE Prestige,Jaguar,2015,"20,47,000","1,485 kms",Diesel
Tata Nexon XZ Plus,Tata,2019,"86,000","62,467 kms",Petrol
Datsun GO T,Datsun,2018,"57,000","76,831 kms",Diesel
BMW X1 sDrive20d,BMW,2011,"8,57,000","70,711 kms",Petrol
Land Rover Discovery Sport,Land,2010,"6,35,000","1,70,057 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2010,"68,000","33,704 kms",Petrol
Jaguar XE Prestige,Jaguar,2006,"8,83,000","10,639 kms",Petrol
Mahindra KUV100 K8,Mahindra,2006,"43,000","57,282 kms",Diesel
Mini Cooper S,Mini,2005,"5,06,000","3,707 kms",Diesel
Honda Amaze S i-Dtech,Honda,2022,"1,81,000","32,407 kms",Diesel
Jaguar XF Portfolio,Jaguar,2016,"12,64,000","1,73,932 kms",Petrol
Datsun redi-GO T,Datsun,2008,"25,000","1,74,650 kms",Petrol
BMW 3 Series 320d,BMW,2010,"10,97,000",901 kms,Diesel
Hyundai Venue SX,Hyundai,2018,"87,000","75,878 kms",Petrol
Honda Jazz V,Honda,2010,"61,000","46,515 kms",Diesel
Jeep Compass Longitude,Jeep,2020,"1,32,000","1,19,225 kms",Diesel
Tata Tigor XZ,Tata,2010,"27,000","1,25,099 kms",Diesel
Audi A6 2.0 TDI,Audi,2002,"3,65,000","61,552 kms",Diesel
Fiat Punto Active,Fiat,2005,"25,000","70,269 kms",Diesel
Volkswagen Ameo Highline 1.5,Volkswagen,2014,"97,000","5,421 kms",Petrol
Renault Triber RXZ,Renault,2010,"41,000","64,140 kms",Petrol
Maruti Suzuki Swift Dzire Vdi,Maruti,2002,Ask For Price,"85,919 kms",CNG
Tata Nano Lx,Tata,2005,"25,000","80,404 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2022,"1,25,000","1,05,469 kms",Diesel
Tata Nano Lx,Tata,2012,"58,000","12,107 kms",Diesel
Fiat Linea Active,Fiat,2017,Ask For Price,"59,758 kms",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2020,"1,58,000","36,012 kms",Diesel
Audi A8,Audi,2019,"22,73,000","19,132 kms",Petrol
Audi A6 2.0 TDI,Audi,2009,"6,90,000","56,338 kms",Petrol
Maruti Suzuki Ciaz VDi,Maruti,2015,"86,000","31,630 kms",Diesel
Tata Indica V2 DLS,Tata,2012,"41,000","62,151 kms",Petrol
Volvo S60 D4,Volvo,2003,"2,90,000","1,24,883 kms",Diesel
Land Rover Freelander 2,Land,2017,"21,45,000","56,817 kms",Diesel
Jeep Compass Longitude,Jeep,2020,"1,67,000","72,889 kms",Petrol
Nissan Sunny XL,Nissan,2019,"1,09,000","43,168 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2023,"1,64,000","72,257 kms",Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2008,"35,000","54,906 kms",Petrol
Jaguar XF Portfolio,Jaguar,2009,"5,34,000","1,62,274 kms",Petrol
Tata Tiago Revotron XZ,Tata,2022,"1,02,000","78,636 kms",Diesel
Toyota Fortuner 3.0 4x4 AT,Toyota,2014,"1,08,000","2,098 kms",Petrol
Jaguar XF Portfolio,Jaguar,2005,"6,36,000","22,336 kms",Petrol
Ford Figo Aspire Titanium,Ford,2009,"50,000","43,665 kms",Diesel
Jaguar XF Portfolio,Jaguar,2016,"19,58,000","41,360 kms",Petrol
Volvo XC60 D5,Volvo,2010,"6,92,000","82,866 kms",Diesel
Maruti Suzuki Baleno Delta,Maruti,2014,"60,000","77,572 kms",CNG
Mahindra Scorpio SLE BS IV,Mahindra,2006,"50,000","14,201 kms",Diesel
Ford Endeavour 4x4 AT,Ford,2017,"61,000","1,03,543 kms",Petrol
Renault Kwid RXT,Renault,2009,"43,000","13,405 kms",Petrol
Chevrolet Beat LT,Chevrolet,2010,"33,000","68,556 kms",Diesel
Hyundai i10 Sportz,Hyundai,2017,"98,000","53,918 kms",Petrol
Mini Cooper S,Mini,2018,"14,64,000","38,850 kms",Diesel
Fiat Punto Active,Fiat,2012,"32,000","1,20,921 kms",Petrol
Chevrolet Beat LT,Chevrolet,2003,"25,000","3,122 kms",Petrol
Maruti Suzuki Swift Vdi,Maruti,2012,"51,000","43,333 kms",Petrol
